WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.143:5000
Press CTRL+C to quit
127.0.0.1 - - [21/Jul/2026 16:55:22] "GET /edit/16402 HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /static/css/style.css?v=15 HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /static/images/white-logo.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /static/images/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /static/js/app.js?v=16 HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /favicon.ico?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "POST /devices/heartbeat HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /records/designation-values?file_id=15&designation=Mixproof%20Valves HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:23] "GET /favicon.ico?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:55:42] "GET /?file_id=15&designation_filter=Mixproof+Valves HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:42] "GET /favicon.ico?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:55:43] "GET /favicon.ico?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:55:50] "GET /?file_id=15&designation_filter=Mixproof+Valves&file_id=15&q=&tag_number_filter=&designation_filter=&remarks_filter= HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:50] "GET /favicon.ico?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:55:50] "GET /favicon.ico?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:55:53] "POST /devices/heartbeat HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:55:53] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:56:04] "GET /?file_id=15 HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:56:04] "GET /static/css/style.css?v=15 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:56:04] "GET /static/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:56:04] "GET /static/images/white-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:56:04] "GET /static/js/app.js?v=16 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:56:06] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:56:06] "POST /devices/heartbeat HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:56:06] "GET /favicon.ico?v=7 HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:56:06] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:56:06] "GET /favicon.ico?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [21/Jul/2026 16:56:36] "POST /devices/heartbeat HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:56:36] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:57:06] "POST /devices/heartbeat HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:57:06] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:57:36] "POST /devices/heartbeat HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:57:36] "GET /devices HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:58:06] "POST /devices/heartbeat HTTP/1.1" 200 -
127.0.0.1 - - [21/Jul/2026 16:58:06] "GET /devices HTTP/1.1" 200 -
